Pos;P+;Artist and Title;Days;Pk;(x?);Pts;Pts+;TPts;US;UK;DE;AU;JP
26;-12;Nicky Youre & Dazy - Sunroof;135;10;;4065;-1334;0.603;30;;;11;
27;25;Kate Bush - Running Up That Hill;131;1;(x3);3847;935;1.554;36;49;;62;
28;2;Rosa Walton & Hallie Coggins - I Really Want to Stay At Your House;13;14;;3822;102;0.049;58;;;49;91
29;-7;Lizzo - About Damn Time;168;4;;3790;-633;1.286;33;45;;24;
30;-7;Meduza & James Carter - Bad Memories;47;23;;3788;-451;0.133;;58;22;42;
31;23;Tom Odell - Another Love;115;31;;3746;895;1.244;;64;32;;
32;-5;Ed Sheeran - Perfect;2037;1;(x62);3742;-270;13.044;;;70;59;
33;9;Ed Sheeran - Shivers;385;3;(x43);3696;472;3.882;55;52;;23;
34;-13;Adele - Hello;2109;1;(x111);3618;-812;9.416;;;;;
35;23;LF SYSTEM - Afraid To Feel;119;17;;3562;821;0.396;;32;;19;
36;-8;Eliza Rose & Interplanetary Criminal - B.O.T.A.;53;21;;3335;-628;0.154;;5;;25;
37;-6;Rema & Selena Gomez - Calm Down;29;8;;3245;-439;0.113;95;43;;;
38;-22;PSY - Gangnam Style;1746;1;(x95);3216;-1991;10.381;;;;;
39;-15;ADELE - Skyfall;1822;1;(x11);3056;-1113;10.326;;;;;
40;167;Liu - Ringtone Drop;35;7;;3027;1917;0.178;;;56;;
41;4;Imagine Dragons - Bones;201;3;(x1);3018;-160;0.557;51;;;56;
42;-1;Avicii - Wake Me Up;1261;1;(x17);2967;-334;9.846;;;;;
43;19;Ellie Goulding - Love Me Like You Do;1931;1;(x53);2938;283;8.667;;;;;
44;NEW;Bruce Springsteen - Do I Love You;1;44;;2920;2920;0.003;98;47;58;;
45;4;Joji - Glimpse of Us;112;10;;2899;-101;0.486;89;92;;;
46;-12;Pharrell Williams - Happy;2775;1;(x188);2879;-766;14.513;;;;;
47;3;Glockenbach - Dirty Dancing;93;35;;2819;-159;0.215;;;3;;
48;16;Dermot Kennedy - Kiss Me;27;40;;2804;164;0.056;;23;24;;
49;-1;Marshmello & Khalid - Numb;102;25;;2764;-271;0.263;31;;34;;
50;-25;Gotye - Somebody That I Used to Know;1474;1;(x51);2667;-1466;11.502;;;;;
51;NEW;Central Cee - Doja;60;51;;2642;2093;0.117;;50;;33;
52;NEW;Coolio - 1, 2, 3, 4;1;52;;2592;2592;0.003;8;;;34;
53;3;Robin Thicke - Blurred Lines;1087;1;(x37);2584;-201;9.187;;;;;
54;-7;Luke Combs - The Kind of Love We Make;105;23;;2543;-518;0.313;23;;;48;
55;11;ROSALÍA - DESPECHÁ;64;15;;2524;-81;0.215;;;;;
56;13;Camila Cabello - Bam Bam;210;1;(x3);2502;11;2.199;;;42;;
57;-18;P!nk - Irrelevant;78;3;(x1);2493;-837;0.298;;;28;29;
58;68;Lady Gaga & Bradley Cooper - Shallow;1450;1;(x154);2475;916;11.206;;75;;73;
59;-19;BLACKPINK - Shut Down;14;1;(x2);2464;-846;0.133;;;;;87
60;-22;Adele - Someone Like You;2670;1;(x51);2462;-907;15.662;;;;;
61;6;Crush - Rush Hour;8;1;(x3);2439;-145;0.099;44;;;;
62;-25;Imanbek & BYOR - Belly Dancer;154;24;;2436;-978;0.478;;;10;;
63;8;Post Malone - I Like You;119;18;;2432;-12;0.342;39;;;92;
64;51;Alvaro Soler & Topic - Solo Para Ti;153;23;;2372;721;0.436;;;55;;
65;-30;Daft Punk - Get Lucky;1636;1;(x68);2320;-1323;9.854;;;;;
66;18;Shania Twain - Waking Up Dreaming;7;14;;2298;186;0.028;71;37;;70;
67;10;Beyoncé - BREAK MY SOUL;101;1;(x3);2275;2;0.868;92;46;;91;
68;11;Ed Sheeran - Shape of You;1979;1;(x110);2224;29;11.500;;;93;;
69;27;Teddy Swims - Don't Stop Believin';35;7;;2200;329;0.104;;;18;;
70;-34;P!nk - Just Give Me a Reason;1221;1;(x23);2173;-1455;8.958;;;;;
71;-11;Ed Sheeran - Thinking Out Loud;2170;2;(x14);2165;-518;10.469;;;81;;
72;3;Coldplay - A Sky Full of Stars;1627;1;(x10);2163;-119;8.109;;;;;
73;8;BLACKPINK - Pink Venom;42;1;(x2);2096;-66;0.335;;;;;
74;6;Gayle - abcdefu;316;2;(x30);2093;-79;2.549;;;;53;
75;NEW;BUMP OF CHICKEN - Souvenir;1;75;;2081;2081;0.002;;;;;1
76;-47;John Legend - All of Me;2883;2;(x1);1980;-1766;12.020;;;;;
77;-3;Imagine Dragons - Sharks;77;13;;1958;-359;0.163;;;;;
